0.5  0.9115809493152051	0.1009969605252237   0.07001483881244848   0.05146788096692821   0.03911188591977235   0.03028809120524414   
0.6  0.6936025299379046	0.2280911437357178   0.1762419848688311   0.1455156655139035   0.1252126538364124   0.1108028420368025   
0.7  0.3880728860211356	0.2462296432932805   0.2011119412859235   0.1757479561367153   0.1596526930882231   0.1485414893681301   
0.7999999999999999  -0.08642091102574781	0.1607584080015363   0.1491840421570689   0.1442720073568249   0.1412097860112845   0.1396638121659829   
0.8999999999999999  -1.035426475979024	0.03229667118690498   0.05119460099233222   0.06311466357462499   0.0709259849398695   0.07647163341116091   
0.9999999999999999  -5.362829167263567	-0.191329893225936   -0.1249962719994104   -0.08542868469791762   -0.05925503677850707   -0.04063781542795668   
1.1  6.032507442170624	-0.1942533021695163   -0.1368504914555523   -0.1027819776306201   -0.08023746021949242   -0.06420911106985706   
1.2  2.251115454505894	-0.02177727903509781   -0.01730539322271787   -0.01495244780442233   -0.01350600669015834   -0.01253038441483142   
1.3  1.284527660925279	0.08711414530898548   0.05452429426084371   0.0348108193066743   0.02160653734415039   0.01214588616165572   
1.4  0.7242819934338037	0.1640940184951957   0.08978667625545117   0.05017037895926096   0.02548592500865859   0.008613121954798113   
1.5  0.2858382500442335	0.08882177290235764   0.02921634486122088   -0.003648568885430009   -0.02447114843740963   -0.03884542982132489   
1.6  -0.1169979377070008	-0.01117611796081362   -0.04790656644936195   -0.06951131490603926   -0.08373593791655044   -0.09380953794243201   
1.7  -0.5337065403805047	-0.111486425200932   -0.1303499159479467   -0.1418084057177672   -0.1495045359702598   -0.1550295267332484   
1.8  -1.027050125400144	-0.2056690447538326   -0.2107580083198643   -0.2139632772849778   -0.2161501003830712   -0.2177317356378949   
