0.5  0.9115809493152051	0.1206262123060302   0.08449868568723463   0.06299930110771837   0.04870721795056374   0.03850887422632843   
0.6  0.6936025299379046	0.1554071938619424   0.1227707049037747   0.1032905023153221   0.0903260785277442   0.08107147357556521   
0.7  0.3880728860211356	0.1992466393110095   0.1703206207383755   0.1531985250007634   0.1419061971692338   0.1339081515164395   
0.7999999999999999  -0.08642091102574781	0.1660925232962616   0.1523171739677137   0.146151476302401   0.1425816292448934   0.1406130653568526   
0.8999999999999999  -1.035426475979024	0.0597584933407416   0.06634339364845769   0.07268197427964554   0.07752153652322527   0.08128820370073135   
0.9999999999999999  -5.362829167263567	-0.1468283235478082   -0.09980468920523398   -0.06915339502718923   -0.04787491717453488   -0.03223323387027281   
1.1  6.032507442170624	-0.1467005001062825   -0.1098666915728666   -0.08533908609690323   -0.06803141074792728   -0.0551859386269044   
1.2  2.251115454505894	0.02060018369610865   0.006027918755398339   -0.0001610420439660141   -0.003286834091142986   -0.005044540133179899   
1.3  1.284527660925279	0.1262476405878902   0.07524305776265999   0.04761810296629138   0.03029934898301133   0.018428783978713   
1.4  0.7242819934338037	0.1048986362949148   0.05956494723274169   0.03185496231587763   0.01320944404919685   -0.0001830100940195782   
1.5  0.2858382500442335	0.05457511442791981   0.01119834277743156   -0.01470235228153437   -0.03192086263672023   -0.04419572735382914   
1.6  -0.1169979377070008	0.004574070485643486   -0.03882376610046012   -0.06359282089314089   -0.07956764732235465   -0.09071152688047783   
1.7  -0.5337065403805047	-0.0454686192531969   -0.09033158810122807   -0.1147050602114348   -0.1297916027379072   -0.1399621409462602   
1.8  -1.027050125400144	-0.09756848149277587   -0.1436086538322977   -0.1674379066589392   -0.1815613455006791   -0.1907238124258099   
