0.    0.17702169796988917	0.1738528862464403   0.1591815693726431   0.1512062472381465   0.1465727940297346 
0.1    0.19429099811333486	0.1943607231045501   0.173862293776624    0.1624186460115467   0.1554233664830156
0.2    0.21823471169191047	0.2165359095441144   0.1894096023462205   0.1739928634935184   0.1647640867710038
0.3    0.2575411755922403	0.2401055354873386   0.2054915950111558   0.1859486644755079   0.1744916002990392
0.4    0.2497939482034135	0.264284396821458    0.2214287467152389   0.1982110749220217   0.1844119260560022
0.5    0.22481734723896138	0.2870668637211733   0.2364439200966587   0.2095506544179624   0.1936173199522573
0.6   0.21434624976060251	0.3082718964965115   0.2488398699143769   0.2189444020409478   0.2013930544483069     
0.7   0.19238524369537235	0.3149600628990605   0.2541798221803026   0.2240293593103511   0.206141357384233    
0.8    0.15920253366934525	0.2629723817644394   0.2326996957707933   0.2142261763736733   0.2017446013075274  
0.9    0.13358403788852344	0.2241586316983692   0.2051947150874469   0.193776918609144    0.1861629639998297     
1.    0.11265751414523714	0.1927116691460048   0.1820182176126742   0.1755301195363879   0.1711779101775422     
1.1    0.09493527055334569	0.1662580238827196   0.1623379053118957   0.1598846713188128   0.1582041932848727   
1.2   0.07954547844783294	0.1434228818304938   0.1452834762077059   0.1462811351465305   0.1468916860511928    
1.3    0.06593247397694427	0.1233331391939977   0.1302480834072416   0.1342681058601075   0.1368887299415956      
1.4    0.05371982896496175	0.1053986148548792   0.1168081880612572   0.1235189444527235   0.1279310779425118     
1.5    0.04264043098006526	0.08920136341972841  0.104659379551169    0.1137955657894832   0.1198236883483297   
1.6    0.03249769663532194	0.07443445280221528  0.09357626776553772  0.1049204734778412   0.1124203502585128     
1.7    0.023142625911536135	0.06086578078882641  0.08338754266638029  0.09675823239218471  0.105609180877315       
      
