0.5  1.755165123780746	-0.06371567550451393   -0.05344463151231653   -0.04728486495029253   -0.04317885327192994   -0.04024608560230324   
0.6  1.650671229819356	-0.01780900456905466   -0.006951589622150729   -0.0004455059402508728   0.003890006254055379   0.006986325955886047   
0.7  1.529684374568977	0.04070276200052758   0.0522352234338991   0.05912241411050435   0.06370373925787011   0.06697250453448191   
0.7999999999999999  1.393413418694331	0.1149919544943694   0.1270382995660221   0.1340868775774828   0.1386979169042886   0.1419422748599316   
0.8999999999999999  1.243219936541329	0.2097777324283515   0.1923867142337888   0.176544312403863   0.1649576143392784   0.1567739775791153   
0.9999999999999999  1.08060461173628	0.2427039122128694   0.1964111773444369   0.1704027326381961   0.1531841608428751   0.1410050954399887   
1.1  0.907192242851155	0.2617745848503146   0.1940718561819381   0.1568796048723072   0.1334164046383456   0.1172800259810535   
1.2  0.7247155089533472	0.2146487950312842   0.1486789393043524   0.1130390370014857   0.09066807750687289   0.07530337543023816   
1.3  0.5349976572491747	0.167754506097665   0.1044700424023685   0.07041699545242161   0.04906030517706819   0.03439439619971371   
1.4  0.3399342858004816	0.1180126021595977   0.05980409128386207   0.02798203089484217   0.007888498422432   -0.005961191449843401   
1.5  0.1414744033354054	0.06251767677814256   0.0123831711802028   -0.01593015243264042   -0.03411036877899193   -0.04676780256442882   
1.6  -0.05839904460257807	0.0004605548315695192   -0.03982080205352026   -0.06334774566293791   -0.07876879815920139   -0.08965565997661122   
1.7  -0.2576889885910502	-0.06511549176508148   -0.09638359275246175   -0.114993339068363   -0.1273437364676638   -0.1361406587739682   
1.8  -0.4544041893861751	-0.1294910637155137   -0.1540197473275816   -0.168708886968138   -0.1784935149133036   -0.1854797333761875   
