0.5  0.9115809493152051	0.2585075107283565   0.1786233467421016   0.1338642920127183   0.1053396564073576   0.08560525797731522   
0.6  0.6936025299379046	0.2735501402997391   0.2015439882601321   0.161611220118185   0.1363617856757323   0.1189951173192204   
0.7  0.3880728860211356	0.2927978063731668   0.2302064974839792   0.1958928365517412   0.1745460737693168   0.1600728859436095   
0.7999999999999999  -0.08642091102574781	0.2628655647438904   0.214451109376561   0.1867970435246815   0.1722660515372687   0.1627602942721262   
0.8999999999999999  -1.035426475979024	0.1762692105287056   0.1353249335979994   0.1173318216692482   0.1088370288670078   0.1044020571103273   
0.9999999999999999  -5.362829167263567	-0.01131242216455257   -0.02028462463274511   -0.01702656511805201   -0.01101796799720909   -0.004811018232548378   
1.1  6.032507442170624	0.006119856055076023   -0.02206027244334604   -0.02806563102159048   -0.02767084971629187   -0.025208787644371   
1.2  2.251115454505894	0.192444462633542   0.1025859312601202   0.06176256852798047   0.03980830934294897   0.02666998428692876   
1.3  1.284527660925279	0.2365999286645904   0.1516834083011728   0.1056867381559402   0.07679838244898481   0.05239432383170234   
1.4  0.7242819934338037	0.2136735267657938   0.1198013565132486   0.07009119494950422   0.03965282429091544   0.01920758243878246   
1.5  0.2858382500442335	0.19307127977409   0.08977379782242445   0.03566104839052288   0.003047298374716328   -0.01851840636544391   
1.6  -0.1169979377070008	0.1741724172043009   0.06121723071262502   0.002062362939241924   -0.03327923340546542   -0.05636390673552561   
1.7  -0.5337065403805047	0.1562037662458639   0.03331353147947726   -0.03135936708421166   -0.06984851913558703   -0.09477546185489756   
1.8  -1.027050125400144	0.1373830912686595   0.003944145875417228   -0.06625810686558667   -0.1077601224012065   -0.1343891991233611   
