0.1  1.487497871355824	0.03904255579764317   0.007208449926443285   
0.2  1.449963733211887	0.04407182815638107   0.03615086813380398   
0.3  1.387297177482169	0.05261484912082824   0.04541355187676645   
0.4  1.299269773814151	0.06988159265639164   0.06228310627227761   
0.5  1.185418160118471	0.09645153254380037   0.08751001429918771   
0.6  1.044857072563198	0.1346729126594837   0.1231040137105443   
0.7  0.8759547447021802	0.189438800095117   0.1726418640738062   
0.7999999999999999  0.6757513188582109	0.2633140811849524   0.2311055488772026   
0.8999999999999999  0.4388570313083044	0.2963398505399628   0.2690481569371332   
0.9999999999999999  0.1551967528958171	0.3220125841531878   0.3049348963028548   
1.1  -0.1951099515075245	0.344201647541267   0.34129220374764   
1.2  -0.6551362917128556	0.3598545255467964   0.3799856515808844   
1.3  -1.334169406288547	0.4037053303394708   0.445513425595072   
1.4  -2.601810756613193	0.4974517332459537   0.5656188693857411   
