0.1  1.990008330556051	-0.08088211062356604   -0.07959034045363085   
0.2  1.960133155682483	-0.04033778969869748   -0.03868379827216201   
0.3  1.910672978251212	-0.002312859504093886   -0.001418197109633105   
0.4  1.84212198800577	0.009986431968719697   0.01511940677798553   
0.5  1.755165123780746	0.02698632230118191   0.03272742552859994   
0.6  1.650671229819356	0.05050185277221683   0.05677297371891697   
0.7  1.529684374568977	0.08153551361127004   0.08826672358439892   
0.7999999999999999  1.393413418694331	0.1214589581568535   0.1285823769498532   
0.8999999999999999  1.243219936541329	0.1722019376978802   0.1796488450465932   
0.9999999999999999  1.08060461173628	0.236600838193889   0.2443019082433953   
1.1  0.907192242851155	0.3190890412429088   0.3269780298512157   
1.2  0.7247155089533472	0.4272343377445445   0.4352530750219607   
1.3  0.5349976572491747	0.5757650117377345   0.5838668080639832   
1.4  0.3399342858004816	0.8002658273479374   0.8084159013058269   
