0.5  1.755165123780746	0.05830401107128203   0.04827235367722352   0.04491674595790289   0.04381763611661999   0.04357981569457231   
0.6  1.650671229819356	0.08920363187498941   0.07711601420961456   0.07290264401705909   0.0713915355204514   0.070951067324012   
0.7  1.529684374568977	0.1276529162975494   0.1132372269024448   0.1079858006587532   0.1059470903618175   0.1052158704201198   
0.7999999999999999  1.393413418694331	0.1748519512479987   0.1580961957980975   0.1517367831647273   0.1491111140960014   0.1480430554718538   
0.8999999999999999  1.243219936541329	0.2325331903269575   0.2135642390904524   0.2061000063999626   0.2028659640453452   0.2014373274297616   
0.9999999999999999  1.08060461173628	0.3033291300053963   0.2823633414508726   0.2738566816633703   0.2700276945588289   0.2682356110991635   
1.1  0.907192242851155	0.3914822597047586   0.368792796120135   0.3593534783715006   0.3549754900217009   0.3528387774610727   
1.2  0.7247155089533472	0.5043972546439829   0.4802912546763926   0.4700642357321075   0.4652109081392118   0.4627689580646553   
1.3  0.5349976572491747	0.6566745035399277   0.631478093747285   0.6206325704467673   0.6153989610908382   0.6127084955782991   
1.4  0.3399342858004816	0.883806818076173   0.8578559718528124   0.8465767009160921   0.8410729154348221   0.8382036862009036   
1.5  0.1414744033354054	1.322336893869374   1.295972242098747   1.284453134788111   1.278798776845633   1.275829161938413   
1.6  -0.05839904460257807	1.764783746386694   1.738347789420989   1.726787220275295   1.721106749409258   1.718119670040714   
1.7  -0.2576889885910502	1.022415852757482   0.9962513664911261   0.9848484395048089   0.979267124046752   0.976346272467519   
1.8  -0.4544041893861751	0.7384877861813836   0.7129364249245336   0.7018874047707193   0.6965273881183603   0.6937535058222783   
