0.5  1.755165123780746	0.03643347343705137   0.03901646690663337   
0.6  1.650671229819356	0.06085124415859351   0.06371052830476608   
0.7  1.529684374568977	0.09267300586657663   0.09577797265593027   
0.7999999999999999  1.393413418694331	0.1332727970405327   0.1365926411245982   
0.8999999999999999  1.243219936541329	0.1845785630996289   0.1880816183210667   
0.9999999999999999  1.08060461173628	0.2494249796892258   0.2530785639593893   
1.1  0.907192242851155	0.33224907410166   0.3360203093660464   
1.2  0.7247155089533472	0.4406303051607749   0.4444879882234905   
1.3  0.5349976572491747	0.5893147810178252   0.59323144442094     
1.4  0.3399342858004821	0.8139065735070594   0.8178596044888854   
1.425  0.2905607077597031	0.8919847119923192   0.8959438571484953   
1.45  0.2410055387347337	0.9851501922125383   0.9891143859323764   
1.475  0.191299749093124	1.100369955869397   1.10433818291176   
1.5  0.1414744033354067	1.251023733092002   1.254995020138699   
1.524999999999999  0.09156064068079543	1.46843689751265   1.472410303527995   
1.549999999999999  0.04158965560618619	1.862930062840843   1.866961508528494 
